Sort,Function,Category,Subcategory,Description,Covered ,Notes
3.2.6,,,DE.CM-5,Unauthorized mobile code is detected,,
3.2.7,,,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,,
3.2.8,,,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",,
3.2.9,,,DE.CM-8,Vulnerability scans are performed,,
3.3.1,,"Detection Processes (DE.DP):
Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.",,,,
3.3.2,,,DE.DP-1,Roles and responsibilities for detection are well defined to ensure accountability,,
3.3.3.,,,DE.DP-2,Detection activities comply with all applicable requirements,,
3.3.3.,,,DE.DP-3,Detection processes are tested,,
3.3.3.,,,DE.DP-4,Event detection information is communicated,,
3.3.3.,,,DE.DP-5,Detection processes are continuously improved,,
4.1.1,RESPOND (RS),"Response Planning (RS.RP):
Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.",,,,
4.1.2,,,RS.RP-1,Response plan is executed during or after an incident,,
4.2.1,,"Communications (RS.CO):
Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).",,,,
4.2.2,,,RS.CO-1,Personnel know their roles and order of operations when a response is needed,,
4.2.3,,,RS.CO-2,Incidents are reported consistent with established criteria,,
4.2.4,,,RS.CO-3,Information is shared consistent with response plans,,
4.2.5,,,RS.CO-4,Coordination with stakeholders occurs consistent with response plans,,
4.2.6,,,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ,,
4.3.1,,"Analysis (RS.AN):
Analysis is conducted to ensure effective response and support recovery activities.",,,,
4.3.2,,,RS.AN-1,Notifications from detection systems are investigated ,,
4.3.3,,,RS.AN-2,The impact of the incident is understood,,
4.3.4,,,RS.AN-3,Forensics are performed,,
4.3.5,,,RS.AN-4,Incidents are categorized consistent with response plans,,
4.3.6,,,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",,
4.4.1,,"Mitigation (RS.MI):
Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",,,,
4.4.2,,,RS.MI-1,Incidents are contained,,
4.4.3,,,RS.MI-2,Incidents are mitigated,,
4.4.4,,,RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks,,
4.5.1,,"Improvements (RS.IM):
Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.",,,,
4.5.2,,,RS.IM-1,Response plans incorporate lessons learned,,
4.5.3,,,RS.IM-2,Response strategies are updated,,
5.1.1,RECOVER (RC),"Recovery Planning (RC.RP):
Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.",,,,
5.1.2,,,RC.RP-1,Recovery plan is executed during or after a cybersecurity incident ,,
5.2.2,,,RC.IM-1,Recovery plans incorporate lessons learned,,
5.2.1,,"Improvements (RC.IM):
Recovery planning and processes are improved by incorporating lessons learned into future activities.",,,,
5.2.3,,,RC.IM-2,Recovery strategies are updated,,
5.3.2,,,RC.CO-1,Public relations are managed,,
5.3.1,,"Communications (RC.CO):
Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",,,,
5.3.3,,,RC.CO-2,Reputation is repaired after an incident ,,
5.3.4,,,RC.CO-3,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,,
